model,features,num_features,roc_auc,f1,accuracy,precision,recall
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,netRatingDiff,netRating_b2b,offRatingDiff,restDiff",8,0.6958289766416177,0.7286047286047286,0.6523408339554229,0.6608275445484748,0.811873840445269
Logistic Regression,"b2bDiff,close_b2b,defRatingDiff,netRatingDiff,offRatingDiff,restDiff",6,0.6958288370413491,0.7292340884573895,0.6520209022075291,0.6596607116048642,0.8152133580705009
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,restDiff",6,0.6958287439745034,0.7300588089124492,0.6524474778713875,0.6594343857549005,0.8176252319109462
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,netRatingDiff",4,0.6958287439745034,0.7286461359674608,0.6513810387117415,0.6593059936908517,0.8142857142857143
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,offRatingDiff,restDiff",6,0.6958286043742348,0.7300588089124492,0.6524474778713875,0.6594343857549005,0.8176252319109462
Logistic Regression,"absNetRatingDiff,b2bDiff,netRatingDiff,netRating_rest,offRatingDiff",5,0.695828557840812,0.7277120479920013,0.6514876826277061,0.6604658197217181,0.810204081632653
Logistic Regression,"b2bDiff,closeGame,netRatingDiff,offRatingDiff",4,0.6958285113073892,0.7286461359674608,0.6513810387117415,0.6593059936908517,0.8142857142857143
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,restDiff",7,0.6958284182405434,0.7286047286047286,0.6523408339554229,0.6608275445484748,0.811873840445269
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRatingDiff,netRating_b2b,netRating_rest",6,0.6958281390400062,0.7271211868644775,0.6508478191319185,0.6601089588377724,0.8092764378478664
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,netRatingDiff,offRatingDiff,restDiff",7,0.6958280925065833,0.7288163808889628,0.6525541217873521,0.6609299516908212,0.8122448979591836
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b,restDiff",8,0.695827534105509,0.7287105635561475,0.6524474778713875,0.6608787558508229,0.8120593692022263
Logistic Regression,"b2bDiff,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff",5,0.6958275341055089,0.7283621837549934,0.6519142582915645,0.6604286145487474,0.811873840445269
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,netRating_b2b,offRatingDiff,restDiff",6,0.6958274410386632,0.728374564170679,0.6510611069638477,0.6591045673076923,0.8139146567717996
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,defRatingDiff,netRating_rest,offRatingDiff",6,0.6958274410386632,0.7270452839629722,0.6509544630478831,0.6603544917436752,0.8087198515769944
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b",7,0.6958273479718176,0.7285595337218984,0.6523408339554229,0.6608761329305136,0.8116883116883117
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,defRatingDiff,netRatingDiff,netRating_b2b,netRating_rest",7,0.6958267430373202,0.7274395329441201,0.6514876826277061,0.6607575757575758,0.8090909090909091
Logistic Regression,"b2bDiff,closeGame,close_b2b,netRatingDiff,offRatingDiff",5,0.6958266965038975,0.7303901267290649,0.6528740535352459,0.6597336525512495,0.8179962894248608
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,netRatingDiff,netRating_b2b,offRatingDiff",7,0.6958263707699373,0.7286653900591125,0.6524474778713875,0.6609273523636913,0.811873840445269
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff",6,0.6958263242365145,0.728495516439721,0.6512743947957769,0.659302675082657,0.8139146567717996
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,netRatingDiff,netRating_b2b",5,0.6958257193020173,0.7284801195318337,0.6511677508798123,0.6591557758750187,0.814100185528757
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,netRatingDiff,offRatingDiff",5,0.6958256262351715,0.7287066246056783,0.6514876826277061,0.6594050480769231,0.8142857142857143
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,offRatingDiff,restDiff",7,0.6958255797017485,0.7300588089124492,0.6524474778713875,0.6594343857549005,0.8176252319109462
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,offRatingDiff",6,0.695825486634903,0.730195558501823,0.6527674096192813,0.6597783767595088,0.8174397031539888
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,defRatingDiff,netRating_b2b,netRating_rest,offRatingDiff",7,0.6958254401014801,0.7272727272727273,0.6512743947957769,0.6606060606060606,0.8089053803339518
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b,restDiff",7,0.6958249747672515,0.7300745650372825,0.6525541217873521,0.6595808383233533,0.8174397031539888
Logistic Regression,"b2bDiff,defRatingDiff,netRatingDiff,offRatingDiff",4,0.6958249747672515,0.7283015727719064,0.6518076143755999,0.6603289572959107,0.811873840445269
Logistic Regression,"b2bDiff,close_b2b,netRatingDiff,offRatingDiff",4,0.6958245559664458,0.7294156706507304,0.6523408339554229,0.6599579453289276,0.8152133580705009
Logistic Regression,"b2bDiff,close_b2b,defRatingDiff,netRatingDiff",4,0.6958240906322171,0.7297319724504191,0.6526607657033167,0.6601110944302657,0.815769944341373
Logistic Regression,"b2bDiff,close_b2b,defRatingDiff,offRatingDiff,restDiff",5,0.6958235787645656,0.7293395287089279,0.6521275461234937,0.6597117982587811,0.8153988868274582
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,offRatingDiff",5,0.6958232530306055,0.730284956925116,0.6527674096192813,0.6596827297216402,0.8178107606679035
Logistic Regression,"b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff",5,0.6958230203634913,0.730284956925116,0.6527674096192813,0.6596827297216402,0.8178107606679035
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,netRating_b2b,offRatingDiff",5,0.695822415428994,0.728585657370518,0.6512743947957769,0.6592069690597777,0.8142857142857143
Logistic Regression,"b2bDiff,close_b2b,defRatingDiff,netRatingDiff,offRatingDiff",5,0.6958220896950339,0.7295816733067729,0.6525541217873521,0.6601081405827576,0.8153988868274582
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,defRatingDiff,netRatingDiff,netRating_b2b,netRating_rest,offRatingDiff",8,0.6958218104944968,0.7273333889398615,0.6513810387117415,0.6607061676011516,0.8089053803339518
